title,description,url,company,location,salary,job_type,posted_date,experience,skills,company_size,industry
Data Scientist,"DATA SCIENTIST - Product/customer REMOTE - 1 day per month in Greater London offices Up to £65,000  cash allowance  10% bonus COMPANY: We are working with a market leading Telecommunications company with an established Data Science and AI team to bring a product focused Data Scientist into the team to work on a new product/service offering. They are looking for a candidate with proven experience in Segmentation, Propensity, Audience targetting etc. ROLE: Work directly with senior stakeholders w…",https://www.adzuna.co.uk/jobs/land/ad/5170683071?se=fJVhYBQw8BGym-MeHncHCQ&utm_medium=api&utm_source=8c2cae12&v=8B7E7AF9C39CF1D36294AE140A9632032562C6F3,,"Eastern England, UK",,,,,,,
Data Scientist,"Data Scientist - (Forecasting/Regression) Remote (UK-Based) Up to £45,000 The Company This UK-based start-up has grown rapidly in just two years. With a team of ~30 people, they are scaling quickly, supported by recent funding and a strong growth pipeline. They specialise in predictive analytics, tracking KPIs for a wide range of companies and industries. Their insights empower investors to make informed decisions by providing performance data ahead of public reports. The Role As a Data Scienti…",https://www.adzuna.co.uk/jobs/land/ad/5170681314?se=fJVhYBQw8BGym-MeHncHCQ&utm_medium=api&utm_source=8c2cae12&v=7ECC1DE8D983C95F0E15820FBE9394F4565D7171,,UK,,,,,,,
Data Scientist,"Job Title: Tech Regulatory Analyst – Data Specialist Location: London - Hybrid Industry: Insurance Up to £65,000 We’re hiring a Tech Regulatory Analyst with a strong data background to join our dynamic team at a leading insurance firm. This is a unique opportunity to step into a pivotal role as the go-to data expert within our regulatory and compliance function. If you're a data scientist or someone with deep technical expertise in data governance, analytics, or engineering—and you're looking t…",https://www.adzuna.co.uk/jobs/land/ad/5193390549?se=fJVhYBQw8BGym-MeHncHCQ&utm_medium=api&utm_source=8c2cae12&v=B4B3E9B6EF9E7F8082EFC7E329EE615AAA1D7AD6,,"London, UK",,,,,,,
Data Scientist,"Data Scientist – Inventory & Pricing Analytics Location: Manchester (Hybrid – 2 days onsite) Salary: £60,000–£90,000 The Company A global content powerhouse is building a next-generation analytics hub, reshaping how millions interact with digital media across publishing, audio, and out-of-home platforms. With data at the core of their strategic direction, they are expanding their team and hiring a Data Scientist to focus on optimising one of their largest revenue streams—advertising inventory. …",https://www.adzuna.co.uk/jobs/land/ad/5187948019?se=fJVhYBQw8BGym-MeHncHCQ&utm_medium=api&utm_source=8c2cae12&v=3055C03EEC72144B87909E45BD49A48206189A35,,UK,,,,,,,
Data Scientist,"Data Scientist Up to 45,000 Location (Remote) Company: This UK-based start-up has grown rapidly in just two years. With a team of 30 people, they are scaling quickly, supported by recent funding and a strong growth pipeline. They specialise in predictive analytics, tracking KPIs for a wide range of companies and industries. Their insights empower investors to make informed decisions by providing performance data ahead of public reports. Responsibilities: Clean and process data to ensure accurac…",https://www.adzuna.co.uk/jobs/land/ad/5171939612?se=fJVhYBQw8BGym-MeHncHCQ&utm_medium=api&utm_source=8c2cae12&v=3CDABF6538C0E7226DA8B9BA32076796BFDEB49C,,UK,,,,,,,
Data Scientist,Data Scientist £400 per day | Outside IR35 | Remote-First (occasional Central London days) 6-month contract | Immediate Start We are looking for a mid-level Data Scientist to join a fast-moving project focused on predictive analytics . This is an opportunity to make a real impact - refining existing algorithms and building new models to improve business performance. The Role: Analyse and improve an existing predictive algorithm. Develop new models focusing on propensity and churn prediction. Wo…,https://www.adzuna.co.uk/jobs/land/ad/5185226431?se=fJVhYBQw8BGym-MeHncHCQ&utm_medium=api&utm_source=8c2cae12&v=7AFD0322DB98D8B3E058DFB9C0351C9A60FBA6DC,,"London, UK",,,,,,,
Data Scientist,"DATA SCIENTIST - Product/Experimentation REMOTE - 1 day per month in Uxbridge Up to £65,000  £6,800 car allowance  10% bonus COMPANY: We are working with a market leading Telecommunications company with an established Data Science and AI team to bring a product focused Data Scientist into the team. They are looking for a candidate with proven experience in experimentation and A/B Testing. ROLE: Work directly with senior stakeholders within and outside the team Design and conduct experiments to …",https://www.adzuna.co.uk/jobs/land/ad/5170679503?se=fJVhYBQw8BGym-MeHncHCQ&utm_medium=api&utm_source=8c2cae12&v=1B26D0786C3AEA29A5C7AC7658734249937419A6,,"Eastern England, UK",,,,,,,
Data Scientist,"Data Scientist Up to £90,000 Hybrid - Manchester (2x days per week). THE COMPANY I'm excited to announce an exciting opportunity for a Data Scientist to join a global media organisation. THE ROLE In this role, you will take the lead on a variety of projects aimed at optimising revenue, shaping pricing strategies, and conducting competitor analysis. SKILLS AND EXPERIENCE SQL Python Statistical Modelling - Regression, propensity etc A/B testing APPLY Send an email to riversteytler@harnham.com reg…",https://www.adzuna.co.uk/jobs/land/ad/5189797748?se=fJVhYBQw8BGym-MeHncHCQ&utm_medium=api&utm_source=8c2cae12&v=01B80EF1B8CC58EFCC68F6DA678EC9AB5F6980D7,,"Manchester, Greater Manchester",,,,,,,
Data Scientist,"Data Scientist Remote (UK-Based) Up to £45,000 The Company This UK-based start-up has grown rapidly in just two years. With a team of ~30 people, they are scaling quickly, supported by recent funding and a strong growth pipeline. They specialise in predictive analytics, tracking KPIs for a wide range of companies and industries. Their insights empower investors to make informed decisions by providing performance data ahead of public reports. The Role As a Data Scientist, you’ll play a pivotal r…",https://www.adzuna.co.uk/jobs/land/ad/5170678237?se=fJVhYBQw8BGym-MeHncHCQ&utm_medium=api&utm_source=8c2cae12&v=943DC879E65AB270DCA78AD513AEBD801EC694B4,,"London, UK",,,,,,,
Data Scientist,"This role cannot provide Visa Sponsorship, so please do not apply to it if you require sponsorship in the future. The Opportunity An excellent position for a Data Scientist or Data Analyst, who is motivated by variety and opportunity. This is a successful and entrepreneurial business, focused on helping hospitality and retail and clients to understand and serve their customers more effectively. The founder is passionate and kind, and listens to ideas from her team, giving them trust to deliver …",https://www.adzuna.co.uk/jobs/land/ad/5170687980?se=fJVhYBQw8BGym-MeHncHCQ&utm_medium=api&utm_source=8c2cae12&v=59D186B8642AC3E6EAB6D72B66752BE7E1BA3B40,,"London, UK",,,,,,,
Data Scientist,"Net Zero | London | Data Science We're looking for a Data Scientist to join a fast-growing Energy Tech startup building the critical infrastructure to accelerate net-zero goals. Backed by top VCs and angel investors (previously invested in Meta, BeReal, Slack, and more!), this team is developing cutting-edge solutions to optimize energy usage - predicting and balancing demand in real time to shift consumption to greener, cheaper power Location: London (Hybrid, 2/3 days in-office  Why join? Wor…",https://www.adzuna.co.uk/jobs/land/ad/5165173221?se=fJVhYBQw8BGym-MeHncHCQ&utm_medium=api&utm_source=8c2cae12&v=3552B33035D437EF08AC9B370F39EB2151949638,,"London, UK",,,,,,,
Data Scientist,"Data Scientist – competitive salary - Newcastle, United Kingdom (hybrid) An exciting opportunity is available for a Data Scientist to join a newly launched, high-performing team based in Newcastle City centre. Backed by leaders in global strategy and finance, this new venture is focused on solving complex data challenges that support investment decision-making at pace and scale. The ideal candidate will be passionate about working with large, diverse datasets - particularly alternative and fina…",https://www.adzuna.co.uk/jobs/land/ad/5193383697?se=fJVhYBQw8BGym-MeHncHCQ&utm_medium=api&utm_source=8c2cae12&v=4FC9E936C64E73516178A8B145EF26BA807F920C,,"Newcastle Upon Tyne, Tyne & Wear",,,,,,,
Data Scientist,"Join Our Mission to Read the Web and Research Companies With AI Are you a curious and ambitious Computer Science graduate or a person with 1-2 years of work experience looking to launch your career in AI and data science? Join our growing team of world-class data scientists and AI engineers, and help us build technology that understands written language at scale. We’re a UK-based company using cutting-edge AI to analyze the open web and surface valuable business insights on companies around the…",https://www.adzuna.co.uk/jobs/land/ad/5185221233?se=DhKDYhQw8BGym-MeHncHCQ&utm_medium=api&utm_source=8c2cae12&v=5A5CC5F03A2B5D387D01E0305B7B9756E3FCD4FF,,"London, UK",,,,,,,
Data Scientist,"Location London / Hybrid (with weekly face-to-face team meetings) Company Description BrandDelta empowers companies around the world to transform the way their Brands can learn and win. Our Brand Intelligence platform is built to enable our clients to understand how consumers perceive their brands faster, deeper and in a more actionable manner with measurable links. We are helping our clients to transition from slow-moving, expensive and unactionable survey-based solutions into the 21 st centur…",https://www.adzuna.co.uk/jobs/land/ad/5193383761?se=DhKDYhQw8BGym-MeHncHCQ&utm_medium=api&utm_source=8c2cae12&v=B7212EBFDCD1EBA17FB909DB467BEB711106CD2C,,"London, UK",,,,,,,
Data Scientist,"Job Title: Data Scientist Salary: £65,000-£75,000  Benefits Location: West London - Hybrid (3 days p/w in-office) Tech: AWS, Snowflake, Airflow, DBT The Company: Immersum are supporting the growth leading PropTech company on a mission to revolutionise how the property sector understands people, places, and data. By combining cutting-edge data science with powerful location intelligence, they help major organisations make smarter, faster decisions. Backed by top-tier investors and growing fast, …",https://www.adzuna.co.uk/jobs/land/ad/5166329681?se=DhKDYhQw8BGym-MeHncHCQ&utm_medium=api&utm_source=8c2cae12&v=FD8DA2D6608C31E6907470763BDEBE29BDAB0B79,,"London, UK",,,,,,,
Data Scientist,"Data Scientist with Databricks Experience Salary-up to £90K base  bonus  benefits Location- Work from Home but accessible to travel to London when needed Our client is an international company that requires a senior Data Scientist with experience in Azure Databricks, Knowledge Graph, Neo4J Graph Database, and RAG pipelines for LLM to join the team. Job Description: Responsibilities: Develop and implement data models and algorithms to solve complex business problems. Utilize Databricks to manage…",https://www.adzuna.co.uk/jobs/land/ad/5166304731?se=DhKDYhQw8BGym-MeHncHCQ&utm_medium=api&utm_source=8c2cae12&v=08E37303FD560B0CCE7A59CA84A153DD2F44DF20,,"London, UK",,,,,,,
Data Scientist,"Data Scientist (Mid Level) Are you ready to make a meaningful impact in the mobile network industry? We are looking for a talented Data Scientist to join a dynamic and innovative team, contributing to mobile network data analysis innovation while driving sustainability efforts. This fully remote role offers the chance to join a growing data analytics team within an ambitious and market-leading organisation. Your Responsibilities Apply data science and machine learning techniques to time-series …",https://www.adzuna.co.uk/jobs/land/ad/5166328402?se=DhKDYhQw8BGym-MeHncHCQ&utm_medium=api&utm_source=8c2cae12&v=FFC65755BAE63C94CCB7A07F0387CE7DF698076A,,UK,,,,,,,
